Date,Strategy_Name,Portfolio_Value,Total_Invested,Daily_Return
2017-01-03,Adaptive Simple SMA 40,1000.0,1000.0,0.0
2017-01-04,Adaptive Simple SMA 40,1018.450184501845,1000.0,0.018450184501844952
2017-01-05,Adaptive Simple SMA 40,1036.90036900369,1000.0,0.018115942028985605
2017-01-06,Adaptive Simple SMA 40,1062.7306273062732,1000.0,0.024911032028469695
2017-01-09,Adaptive Simple SMA 40,1073.8007380073802,1000.0,0.010416666666666753
2017-01-10,Adaptive Simple SMA 40,1081.1808118081183,1000.0,0.006872852233676982
2017-01-11,Adaptive Simple SMA 40,1088.5608856088563,1000.0,0.006825938566552906
2017-01-12,Adaptive Simple SMA 40,1081.1808118081183,1000.0,-0.006779661016949158
2017-01-13,Adaptive Simple SMA 40,1095.9409594095944,1000.0,0.013651877133105813
2017-01-17,Adaptive Simple SMA 40,1084.8708487084873,1000.0,-0.010101010101010183
2017-01-18,Adaptive Simple SMA 40,1092.2509225092253,1000.0,0.00680272108843538
2017-01-19,Adaptive Simple SMA 40,1088.5608856088566,1000.0,-0.0033783783783783066
2017-01-20,Adaptive Simple SMA 40,1095.9409594095946,1000.0,0.006779661016949158
2017-01-23,Adaptive Simple SMA 40,1099.6309963099634,1000.0,0.003367003367003295
2017-01-24,Adaptive Simple SMA 40,1121.7712177121775,1000.0,0.020134228187919483
2017-01-25,Adaptive Simple SMA 40,1154.9815498154985,1000.0,0.02960526315789469
2017-01-26,Adaptive Simple SMA 40,1158.6715867158678,1000.0,0.003194888178913812
2017-01-27,Adaptive Simple SMA 40,1166.0516605166058,1000.0,0.006369426751592362
2017-01-30,Adaptive Simple SMA 40,1140.2214022140226,1000.0,-0.022151898734177305
2017-01-31,Adaptive Simple SMA 40,1132.8413284132846,1000.0,-0.00647249190938512
2017-02-01,Adaptive Simple SMA 40,2174.5255237568667,2000.0,0.019543973941368097
2017-02-02,Adaptive Simple SMA 40,2167.57815786627,2000.0,-0.0031948881789136702
2017-02-03,Adaptive Simple SMA 40,2188.420255538061,2000.0,0.009615384615384552
2017-02-06,Adaptive Simple SMA 40,2195.3676214286584,2000.0,0.003174603174603248
2017-02-07,Adaptive Simple SMA 40,2216.209719100449,2000.0,0.009493670886075887
2017-02-08,Adaptive Simple SMA 40,2230.104450881643,2000.0,0.006269592476489034
2017-02-09,Adaptive Simple SMA 40,2250.9465485534342,2000.0,0.009345794392523442
2017-02-10,Adaptive Simple SMA 40,2271.7886462252254,2000.0,0.009259259259259198
2017-02-13,Adaptive Simple SMA 40,2313.472841568808,2000.0,0.018348623853211024
2017-02-14,Adaptive Simple SMA 40,2334.3149392405985,2000.0,0.00900900900900895
2017-02-15,Adaptive Simple SMA 40,2375.9991345841804,2000.0,0.017857142857142873
2017-02-16,Adaptive Simple SMA 40,2375.9991345841804,2000.0,0.0
2017-02-17,Adaptive Simple SMA 40,2403.788598146569,2000.0,0.01169590643274855
2017-02-21,Adaptive Simple SMA 40,2438.525427599554,2000.0,0.01445086705202307
2017-02-22,Adaptive Simple SMA 40,2445.472793490151,2000.0,0.002849002849002915
2017-02-23,Adaptive Simple SMA 40,2417.683329927763,2000.0,-0.011363636363636374
2017-02-24,Adaptive Simple SMA 40,2431.578061708957,2000.0,0.005747126436781614
2017-02-27,Adaptive Simple SMA 40,2438.5254275995544,2000.0,0.0028571428571427964
2017-02-28,Adaptive Simple SMA 40,2417.683329927763,2000.0,-0.008547008547008492
2017-03-01,Adaptive Simple SMA 40,3525.713550126629,3000.0,0.03160919540229881
2017-03-02,Adaptive Simple SMA 40,3466.787975472702,3000.0,-0.016713091922005586
2017-03-03,Adaptive Simple SMA 40,3486.4298336906777,3000.0,0.005665722379603405
2017-03-06,Adaptive Simple SMA 40,3466.787975472702,3000.0,-0.005633802816901414
2017-03-07,Adaptive Simple SMA 40,3447.146117254726,3000.0,-0.005665722379603405
2017-03-08,Adaptive Simple SMA 40,3466.7879754727014,3000.0,0.0056980056980057035
2017-03-09,Adaptive Simple SMA 40,3476.60890458169,3000.0,0.0028328611898017653
2017-03-10,Adaptive Simple SMA 40,3515.8926210176414,3000.0,0.011299435028248598
2017-03-13,Adaptive Simple SMA 40,3535.5344792356173,3000.0,0.005586592178770954
2017-03-14,Adaptive Simple SMA 40,3506.0716919086535,3000.0,-0.008333333333333403
2017-03-15,Adaptive Simple SMA 40,3574.818195671569,3000.0,0.01960784313725498
2017-03-16,Adaptive Simple SMA 40,3564.9972665625805,3000.0,-0.002747252747252811
2017-03-17,Adaptive Simple SMA 40,3555.176337453593,3000.0,-0.00275482093663906
2017-03-20,Adaptive Simple SMA 40,3574.818195671569,3000.0,0.005524861878453044
2017-03-21,Adaptive Simple SMA 40,3407.862400818776,3000.0,-0.04670329670329668
2017-03-22,Adaptive Simple SMA 40,3476.6089045816907,3000.0,0.02017291066282416
2017-03-23,Adaptive Simple SMA 40,3447.146117254727,3000.0,-0.00847457627118651
