Date,Strategy_Name,Portfolio_Value,Total_Invested,Daily_Return
2021-01-04,QQQ Buy and Hold,1000.0,1000.0,0.0
2021-01-05,QQQ Buy and Hold,1008.2484230955846,1000.0,0.008248423095584705
2021-01-06,QQQ Buy and Hold,994.274623968947,1000.0,-0.013859480269489874
2021-01-07,QQQ Buy and Hold,1018.3082645964741,1000.0,0.024172034615134383
2021-01-08,QQQ Buy and Hold,1031.4087012776968,1000.0,0.012864902639687467
2021-01-11,QQQ Buy and Hold,1016.4968461911691,1000.0,-0.01445775575487679
2021-01-12,QQQ Buy and Hold,1014.9118550865273,1000.0,-0.0015592680986476026
2021-01-13,QQQ Buy and Hold,1021.7370208636582,1000.0,0.006724885262621156
2021-01-14,QQQ Buy and Hold,1016.270418890506,1000.0,-0.005350302339570069
2021-01-15,QQQ Buy and Hold,1008.2484230955844,1000.0,-0.00789356419886695
2021-01-19,QQQ Buy and Hold,1022.933850881449,1000.0,0.014565287135065835
2021-01-20,QQQ Buy and Hold,1046.741064208313,1000.0,0.02327346319251206
2021-01-21,QQQ Buy and Hold,1055.118874332848,1000.0,0.008003708281829341
2021-01-22,QQQ Buy and Hold,1052.0782791525148,1000.0,-0.0028817560317606233
2021-01-25,QQQ Buy and Hold,1060.7795568494257,1000.0,0.008270561106840884
2021-01-26,QQQ Buy and Hold,1062.3322011968298,1000.0,0.001463682380923395
2021-01-27,QQQ Buy and Hold,1032.7025715672003,1000.0,-0.027891115035625188
2021-01-28,QQQ Buy and Hold,1038.8161086851042,1000.0,0.005919939860928355
2021-01-29,QQQ Buy and Hold,1016.9497007924955,1000.0,-0.021049353884477633
2021-02-01,QQQ Buy and Hold,2067.375047171926,2000.0,0.02500079519068677
2021-02-02,QQQ Buy and Hold,2101.1202535276257,2000.0,0.016322730799069016
2021-02-03,QQQ Buy and Hold,2092.7801835157607,2000.0,-0.0039693444474978214
2021-02-04,QQQ Buy and Hold,2117.543776012529,2000.0,0.011832868397657993
2021-02-05,QQQ Buy and Hold,2124.7290670996745,2000.0,0.003393219620080603
2021-02-08,QQQ Buy and Hold,2138.907186119845,2000.0,0.006672906790663908
2021-02-09,QQQ Buy and Hold,2138.4581054268983,2000.0,-0.0002099580083982999
2021-02-10,QQQ Buy and Hold,2133.6465265738993,2000.0,-0.0022500225002250024
2021-02-11,QQQ Buy and Hold,2145.3226245905103,2000.0,0.005472367550664482
2021-02-12,QQQ Buy and Hold,2157.319494530655,2000.0,0.005592105263157909
2021-02-16,QQQ Buy and Hold,2151.4814455223495,2000.0,-0.0027061587414874007
2021-02-17,QQQ Buy and Hold,2141.152589584578,2000.0,-0.004800811068702331
2021-02-18,QQQ Buy and Hold,2131.8502038021134,2000.0,-0.004344569288389479
2021-02-19,QQQ Buy and Hold,2122.5478180196483,2000.0,-0.0043635269334937965
2021-02-22,QQQ Buy and Hold,2067.5033559413387,2000.0,-0.025933202357563974
2021-02-23,QQQ Buy and Hold,2061.3445350095003,2000.0,-0.002978868650510378
2021-02-24,QQQ Buy and Hold,2078.345446956763,2000.0,0.008247486850704856
2021-02-25,QQQ Buy and Hold,2005.9151466229512,2000.0,-0.03484998147919485
2021-02-26,QQQ Buy and Hold,2014.319371019523,2000.0,0.004189720791889219
2021-03-01,QQQ Buy and Hold,3104.94671945708,3000.0,0.030065609274476074
2021-03-02,QQQ Buy and Hold,3055.1208785258377,3000.0,-0.016047245068332192
2021-03-03,QQQ Buy and Hold,2966.5096045768273,3000.0,-0.02900417936712446
2021-03-04,QQQ Buy and Hold,2917.9318097575433,3000.0,-0.016375404530744344
2021-03-05,QQQ Buy and Hold,2961.9014343172903,3000.0,0.01506876357175753
2021-03-08,QQQ Buy and Hold,2877.9943341748904,3000.0,-0.02832879553999744
2021-03-09,QQQ Buy and Hold,2991.566530363059,3000.0,0.03946227233304437
2021-03-10,QQQ Buy and Hold,2983.022214673501,3000.0,-0.002856134270402061
2021-03-11,QQQ Buy and Hold,3051.664750831185,3000.0,0.023011071060762025
2021-03-12,QQQ Buy and Hold,3026.8958356861745,3000.0,-0.008116525623682588
2021-03-15,QQQ Buy and Hold,3059.249031050006,3000.0,0.010688572425386166
2021-03-16,QQQ Buy and Hold,3076.0496517879005,3000.0,0.005491746689261281
2021-03-17,QQQ Buy and Hold,3088.722120001627,3000.0,0.004119721606691405
2021-03-18,QQQ Buy and Hold,2994.1586261340485,3000.0,-0.030615733689739914
2021-03-19,QQQ Buy and Hold,3004.7190163121536,3000.0,0.003526997563165393
2021-03-22,QQQ Buy and Hold,3057.1369530143847,3000.0,0.017445204166400344
2021-03-23,QQQ Buy and Hold,3043.7924599711428,3000.0,-0.0043650295189046175
2021-03-24,QQQ Buy and Hold,2992.5265658337953,3000.0,-0.016842769279293585
2021-03-25,QQQ Buy and Hold,2987.3423742918167,3000.0,-0.001732379455262788
2021-03-26,QQQ Buy and Hold,3032.0800272281526,3000.0,0.014975736735546382
2021-03-29,QQQ Buy and Hold,3031.2159953044898,3000.0,-0.0002849634296931102
2021-03-30,QQQ Buy and Hold,3015.9514313197737,3000.0,-0.005035788940267409
